tweet_id,favorites,retweets,followers,favourites,timestamp
892420643555336193,33803,7001,9300802,146729,2017-08-01 16:23:56+00:00
892177421306343426,29314,5298,9300802,146729,2017-08-01 00:17:27+00:00
891815181378084864,22042,3477,9300802,146729,2017-07-31 00:18:03+00:00
891689557279858688,36917,7222,9300802,146729,2017-07-30 15:58:51+00:00
891327558926688256,35298,7754,9300802,146729,2017-07-29 16:00:24+00:00
891087950875897856,17802,2599,9300802,146729,2017-07-29 00:08:17+00:00
890971913173991426,10361,1659,9300802,146729,2017-07-28 16:27:12+00:00
890729181411237888,56833,15748,9300802,146729,2017-07-28 00:22:40+00:00
890609185150312448,24500,3617,9301259,146733,2017-07-27 16:25:51+00:00
890240255349198849,27950,6093,9300802,146729,2017-07-26 15:59:51+00:00
890006608113172480,27027,6146,9300802,146729,2017-07-26 00:31:25+00:00
889880896479866881,24553,4163,9300802,146729,2017-07-25 16:11:53+00:00
889665388333682689,42027,8342,9300802,146729,2017-07-25 01:55:32+00:00
889638837579907072,23662,3710,9300802,146729,2017-07-25 00:10:02+00:00
889531135344209921,13350,1878,9300802,146729,2017-07-24 17:02:04+00:00
889278841981685760,22103,4440,9300802,146729,2017-07-24 00:19:32+00:00
888917238123831296,25624,3759,9300802,146729,2017-07-23 00:22:39+00:00
888804989199671297,22460,3533,9300802,146729,2017-07-22 16:56:37+00:00
888554962724278272,17310,2876,9300802,146729,2017-07-22 00:23:06+00:00
888078434458587136,19145,2892,9300802,146729,2017-07-20 16:49:33+00:00
887705289381826560,26605,4532,9300802,146729,2017-07-19 16:06:48+00:00
887517139158093824,40705,9840,9300802,146729,2017-07-19 03:39:09+00:00
887473957103951883,60166,15010,9300802,146729,2017-07-19 00:47:34+00:00
887343217045368832,29578,8810,9300802,146729,2017-07-18 16:08:03+00:00
887101392804085760,26967,4986,9300802,146729,2017-07-18 00:07:08+00:00
886983233522544640,30364,6308,9300802,146729,2017-07-17 16:17:36+00:00
886736880519319552,10496,2627,9300802,146729,2017-07-16 23:58:41+00:00
886680336477933568,19721,3733,9300802,146729,2017-07-16 20:14:00+00:00
886366144734445568,18539,2629,9300802,146729,2017-07-15 23:25:31+00:00
886267009285017600,105,4,9300802,146729,2017-07-15 16:51:35+00:00
886258384151887873,24515,5280,9300802,146729,2017-07-15 16:17:19+00:00
886054160059072513,0,93,9300802,146729,2017-07-15 02:45:48+00:00
885984800019947520,28591,5606,9300802,146729,2017-07-14 22:10:11+00:00
